"ID";"Periods";"TotalPopulation_1";"Males_2";"Females_3";"TotalPopulation_4";"NeverMarried_5";"Married_6";"Widowed_7";"Divorced_8";"TotalPopulation_9";"YoungerThan20Years_10";"k_20To40Years_11";"k_40To65Years_12";"k_65To80Years_13";"k_80YearsOrOlder_14";"YoungerThan20Years_15";"k_20To40Years_16";"k_40To65Years_17";"k_65To80Years_18";"k_80YearsOrOlder_19";"TotalDemographicPressure_20";"GreenPressure_21";"GreyPressure_22";"TotalPopulation_23";"Males_24";"Females_25";"TotalPopulation_26";"PersonsWithADutchBackground_27";"WithMigrationBackground_28";"WithMigrationBackgroundRate_29";"TotalWesternMigrationBackground_30";"MiddleAndEasternEuropeanEUCountries_31";"GIPSCountriesEuropeanUnion_32";"OtherWesternBackground_33";"TotalNonWestern_34";"Morocco_35";"FormerNethAntillesAndAruba_36";"Suriname_37";"Turkey_38";"OtherNonWesternBackground_39";"TotalFirstGeneration_40";"TotalWesternFirstGeneration_41";"MiddleAndEasternEuropeanEUCountries_42";"GIPSCountriesEuropeanUnion_43";"OtherWesternBackground_44";"TotalNonWestern_45";"Morocco_46";"FormerNethAntillesAndAruba_47";"Suriname_48";"Turkey_49";"OtherNonWesternBackground_50";"TotalSecondGeneration_51";"TotalWesternSecondGeneration_52";"MiddleAndEasternEuropeanEUCountries_53";"GIPSCountriesEuropeanUnion_54";"OtherWesternBackground_55";"TotalNonWestern_56";"Morocco_57";"FormerNethAntillesAndAruba_58";"Suriname_59";"Turkey_60";"OtherNonWesternBackground_61";"TotalPrivateHouseholds_62";"OnePersonHouseholds_63";"MultiPersonHouseholds_64";"AverageHouseholdSize_65";"PopulationInInstitutionalHouseholds_66";"TotalPopulationGrowth_67";"TotalPopulationGrowthRate_68";"LiveBirths_69";"Deaths_70";"NaturalIncrease_71";"NaturalIncreaseRate_72";"Immigration_73";"EmigrationIncludingAdministrati_74";"NetMigrationIncludingAdministrativ_75";"NetMigrationIncludingAdminRate_76";"OtherCorrections_77";"PopulationDensity_78"
"0";"1950JJ00";"10026773";"4998251";"5028522";"10026773";"5284496";"4232241";"435532";"74504";"10026773";"3742499";"2951369";"2562311";"670995";"99599";"37.3";"29.4";"25.6";"6.7";"1";"81.9";"67.9";"14";"30.8";"30.3";"31.3";"10026773";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2535";"245";"2290";"3.93";;"173507";"17.3";"229718";"75929";"153789";"15.2";"70602";"50697";"19905";"2";"-187";"309"
"1";"1951JJ00";"10200280";"5083759";"5116521";"10200280";"5354293";"4329761";"439933";"76293";"10200280";"3805617";"2985744";"2614428";"690449";"104042";"37.3";"29.3";"25.6";"6.8";"1";"82.1";"68";"14.2";"30.8";"30.3";"31.4";"10200280";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2600";"258";"2342";"3.88";;"128063";"12.6";"228407";"77560";"150847";"14.7";"45016";"67449";"-22433";"-2.2";"-351";"315"
"2";"1952JJ00";"10328343";"5145772";"5182571";"10328343";"5384853";"4421572";"444343";"77575";"10328343";"3853988";"2999353";"2656483";"710729";"107790";"37.3";"29";"25.7";"6.9";"1";"82.6";"68.1";"14.5";"31";"30.4";"31.5";"10328343";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2658";"270";"2388";"3.84";;"107288";"10.4";"231888";"76346";"155542";"15";"33666";"81347";"-47681";"-4.6";"-573";"319"
"3";"1953JJ00";"10435631";"5198033";"5237598";"10435631";"5409984";"4497526";"449090";"79031";"10435631";"3894738";"2996594";"2700881";"729809";"113609";"37.3";"28.7";"25.9";"7";"1.1";"83.2";"68.4";"14.8";"31.1";"30.5";"31.6";"10435631";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2716";"282";"2434";"3.79";;"115106";"11";"227964";"80901";"147063";"14";"35449";"67080";"-31631";"-3";"-326";"322"
"4";"1954JJ00";"10550737";"5256108";"5294629";"10550737";"5443474";"4572974";"454436";"79853";"10550737";"3945330";"2994204";"2744425";"747436";"119342";"37.4";"28.4";"26";"7.1";"1.1";"83.9";"68.8";"15.1";"31.2";"30.6";"31.7";"10550737";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2794";"297";"2497";"3.73";;"129286";"12.3";"228173";"79623";"148550";"14";"42418";"61368";"-18950";"-1.8";"-314";"325"
"5";"1955JJ00";"10680023";"5320759";"5359264";"10680023";"5481327";"4658053";"459762";"80881";"10680023";"4000883";"2997145";"2792024";"765017";"124954";"37.5";"28.1";"26.1";"7.2";"1.2";"84.5";"69.1";"15.4";"31.3";"30.7";"31.9";"10680023";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2848";"310";"2538";"3.71";;"141638";"13.3";"229222";"81708";"147514";"13.7";"52069";"57267";"-5198";"-0.5";"-678";"329"
"6";"1956JJ00";"10821661";"5390751";"5430910";"10821661";"5526994";"4746401";"465827";"82439";"10821661";"4063634";"3013487";"2832042";"782200";"130298";"37.6";"27.8";"26.2";"7.2";"1.2";"85.1";"69.5";"15.6";"31.4";"30.8";"32";"10821661";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2907";"323";"2584";"3.68";;"135379";"12.5";"231492";"84809";"146683";"13.5";"51756";"62737";"-10981";"-1";"-323";"333"
"7";"1957JJ00";"10957040";"5459578";"5497462";"10957040";"5567164";"4834087";"472164";"83625";"10957040";"4124465";"3027385";"2869124";"800553";"135513";"37.6";"27.6";"26.2";"7.3";"1.2";"85.8";"69.9";"15.9";"31.5";"30.9";"32.1";"10957040";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2982";"339";"2643";"3.63";;"138686";"12.7";"233892";"82961";"150931";"13.7";"50143";"62644";"-12501";"-1.1";"256";"338"
"8";"1958JJ00";"11095726";"5529065";"5566661";"11095726";"5607936";"4924488";"478607";"84695";"11095726";"4188105";"3041247";"2906002";"818343";"142029";"37.7";"27.4";"26.2";"7.4";"1.3";"86.6";"70.4";"16.1";"31.6";"30.9";"32.2";"11095726";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3058";"355";"2703";"3.6";;"182298";"16.4";"236859";"84491";"152368";"13.6";"67957";"55861";"12096";"1.1";"17834";"342"
"9";"1959JJ00";"11278024";"5618540";"5659484";"11278024";"5677101";"5027106";"487125";"86692";"11278024";"4270455";"3076070";"2940435";"843228";"147836";"37.9";"27.3";"26.1";"7.5";"1.3";"87.5";"71";"16.5";"31.6";"31";"32.3";"11278024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3126";"370";"2756";"3.57";;"139230";"12.3";"242518";"86072";"156446";"13.8";"37185";"54076";"-16891";"-1.5";"-325";"347"
"10";"1960JJ00";"11417254";"5686152";"5731102";"11417254";"5730715";"5103163";"495131";"88245";"11417254";"4331042";"3098779";"2968611";"864423";"154399";"37.9";"27.1";"26";"7.6";"1.4";"88.2";"71.4";"16.8";"31.7";"31.1";"32.4";"11417254";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3171";"387";"2784";"3.56";;"138754";"12.2";"239128";"87825";"151303";"13.2";"45407";"58226";"-12819";"-1.1";"270";"352"
"11";"1961JJ00";"11556008";"5754229";"5801779";"11556008";"5785892";"5182053";"506613";"81450";"11556008";"4386744";"3100271";"3020409";"887637";"160947";"38";"26.8";"26.1";"7.7";"1.4";"88.8";"71.7";"17.1";"31.8";"31.1";"32.5";"11556008";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3231";"410";"2821";"3.54";;"165408";"14.3";"247407";"88321";"159086";"13.7";"55082";"48670";"6412";"0.6";"-90";"344"
"12";"1962JJ00";"11721416";"5838368";"5883048";"11721416";"5850611";"5270315";"516742";"83748";"11721416";"4461142";"3114828";"3065393";"912524";"167529";"38.1";"26.6";"26.2";"7.8";"1.4";"89.7";"72.2";"17.5";"31.9";"31.2";"32.6";"11721416";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3286";"433";"2853";"3.53";;"168546";"14.4";"246150";"93969";"152181";"12.9";"66035";"49082";"16953";"1.4";"-588";"349"
"13";"1963JJ00";"11889962";"5923811";"5966151";"11889962";"5917551";"5359878";"527100";"85433";"11889962";"4532162";"3141795";"3108573";"934630";"172802";"38.1";"26.4";"26.1";"7.9";"1.5";"90.2";"72.5";"17.7";"31.9";"31.2";"32.6";"11889962";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3342";"457";"2886";"3.52";;"152008";"12.8";"249879";"95734";"154145";"12.9";"55127";"46691";"8436";"0.7";"-10573";"355"
"14";"1964JJ00";"12041970";"6001376";"6040594";"12041970";"5975336";"5441831";"537585";"87218";"12041970";"4583772";"3174758";"3150735";"955313";"177392";"38.1";"26.4";"26.2";"7.9";"1.5";"90.4";"72.5";"17.9";"32";"31.2";"32.7";"12041970";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3419";"484";"2935";"3.49";;"170299";"14.1";"250914";"93437";"157477";"13";"67079";"53419";"13660";"1.1";"-838";"360"
"15";"1965JJ00";"12212269";"6090529";"6121740";"12212269";"6025009";"5547842";"549790";"89628";"12212269";"4631281";"3227357";"3191097";"976752";"185782";"37.9";"26.4";"26.1";"8";"1.5";"90.3";"72.2";"18.1";"32";"31.3";"32.8";"12212269";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3508";"513";"2995";"3.45";;"164925";"13.5";"245216";"98026";"147190";"12";"76572";"57808";"18764";"1.5";"-1029";"365"
"16";"1966JJ00";"12377194";"6178283";"6198911";"12377194";"6059792";"5662112";"562821";"92469";"12377194";"4685535";"3274528";"3227483";"996411";"193237";"37.9";"26.5";"26.1";"8.1";"1.6";"90.4";"72.1";"18.3";"32.1";"31.3";"32.9";"12377194";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3602";"544";"3058";"3.4";;"158113";"12.8";"239611";"100516";"139095";"11.2";"81842";"61892";"19950";"1.6";"-932";"370"
"17";"1967JJ00";"12535307";"6262052";"6273255";"12535307";"6080609";"5783104";"575104";"96490";"12535307";"4659556";"3397478";"3259448";"1018765";"200060";"37.2";"27.1";"26";"8.1";"1.6";"88.3";"70";"18.3";"32.2";"31.4";"33";"12535307";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3698";"576";"3121";"3.34";;"125788";"10";"238678";"99792";"138886";"11";"55784";"67292";"-11508";"-0.9";"-1590";"375"
"18";"1968JJ00";"12661095";"6317025";"6344070";"12661095";"6082119";"5888608";"588916";"101452";"12661095";"4640156";"3485200";"3283600";"1043617";"208522";"36.6";"27.5";"25.9";"8.2";"1.6";"87.1";"68.6";"18.5";"32.3";"31.5";"33.2";"12661095";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3790";"609";"3181";"3.3";;"137251";"10.8";"237112";"104989";"132123";"10.4";"64486";"58479";"6007";"0.5";"-879";"379"
"19";"1969JJ00";"12798346";"6382960";"6415386";"12798346";"6083804";"6004522";"602271";"107749";"12798346";"4637626";"3566931";"3312816";"1065626";"215347";"36.2";"27.9";"25.9";"8.3";"1.7";"86";"67.4";"18.6";"32.4";"31.5";"33.3";"12798346";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3890";"644";"3246";"3.25";;"159275";"12.4";"247588";"107615";"139973";"10.9";"76359";"56176";"20183";"1.6";"-881";"379"
"20";"1970JJ00";"12957621";"6465081";"6492540";"12957621";"6104254";"6121941";"616504";"114922";"12957621";"4657606";"3650362";"3338678";"1089232";"221743";"35.9";"28.2";"25.8";"8.4";"1.7";"85.4";"66.6";"18.8";"32.5";"31.6";"33.4";"12957621";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3986";"679";"3307";"3.21";;"161809";"12.5";"238912";"109619";"129293";"9.9";"90829";"57375";"33454";"2.6";"-938";"384"
"21";"1971JJ00";"13119430";"6549696";"6569734";"13119430";"6114007";"6253128";"631129";"121166";"13119430";"4678829";"3730445";"3370407";"1111504";"228245";"35.7";"28.4";"25.7";"8.5";"1.7";"84.8";"65.9";"18.9";"32.6";"31.6";"33.5";"13119430";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4094";"716";"3378";"3.17";"255";"150133";"11.4";"227180";"110243";"116937";"8.9";"95054";"62040";"33014";"2.5";"182";"389"
"22";"1972JJ00";"13269563";"6624210";"6645353";"13269563";"6116183";"6377948";"644911";"130521";"13269563";"4694750";"3809177";"3397711";"1132778";"235147";"35.4";"28.7";"25.6";"8.5";"1.8";"84.1";"65.1";"19";"32.7";"31.7";"33.6";"13269563";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4211";"756";"3454";"3.11";;"118060";"8.9";"214133";"113576";"100557";"7.5";"81329";"62200";"19129";"1.4";"-1626";"394"
"23";"1973JJ00";"13387623";"6675531";"6712092";"13387623";"6109300";"6472860";"660242";"145221";"13387623";"4691201";"3876435";"3424718";"1154901";"240368";"35";"29";"25.6";"8.6";"1.8";"83.4";"64.3";"19.1";"32.8";"31.8";"33.8";"13387623";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4337";"799";"3538";"3.04";;"103397";"7.7";"194993";"110682";"84311";"6.3";"84691";"63623";"21068";"1.6";"-1982";"396"
"24";"1974JJ00";"13491020";"6722096";"6768924";"13491020";"6106097";"6546349";"674186";"164388";"13491020";"4670957";"3948968";"3444804";"1177000";"249291";"34.6";"29.3";"25.5";"8.7";"1.8";"82.5";"63.2";"19.3";"33";"32";"34";"13491020";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4454";"842";"3613";"2.99";;"108072";"8";"185982";"109250";"76732";"5.7";"93796";"60655";"33141";"2.4";"-1801";"399"
"25";"1975JJ00";"13599092";"6771613";"6827479";"13599092";"6099415";"6626364";"688197";"185116";"13599092";"4646232";"4026470";"3466969";"1201043";"258378";"34.2";"29.6";"25.5";"8.8";"1.9";"81.5";"62";"19.5";"33.2";"32.2";"34.3";"13599092";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4561";"883";"3678";"2.95";;"134486";"9.9";"177876";"113737";"64139";"4.7";"127264";"55209";"72055";"5.3";"-1708";"402"
"26";"1976JJ00";"13733578";"6836875";"6896703";"13733578";"6120879";"6704149";"694903";"213647";"13733578";"4624109";"4121445";"3497868";"1221862";"268294";"33.7";"30";"25.5";"8.9";"2";"80.2";"60.7";"19.6";"33.5";"32.4";"34.5";"13733578";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4660";"924";"3737";"2.9";;"80917";"5.9";"177090";"114454";"62636";"4.5";"82953";"61530";"21423";"1.6";"-3142";"406"
"27";"1977JJ00";"13814495";"6871547";"6942948";"13814495";"6120117";"6747124";"708657";"238597";"13814495";"4579205";"4197667";"3523309";"1236344";"277970";"33.1";"30.4";"25.5";"8.9";"2";"78.9";"59.3";"19.6";"33.7";"32.6";"34.8";"13814495";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4752";"964";"3788";"2.87";;"83379";"6";"173296";"110093";"63203";"4.6";"83899";"63555";"20344";"1.5";"-168";"409"
"28";"1978JJ00";"13897874";"6907216";"6990658";"13897874";"6127203";"6784633";"723362";"262676";"13897874";"4528294";"4276841";"3543413";"1259198";"290128";"32.6";"30.8";"25.5";"9.1";"2.1";"77.7";"57.9";"19.8";"34";"32.8";"35.1";"13897874";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4839";"1004";"3835";"2.83";;"87652";"6.3";"175550";"114415";"61135";"4.4";"89184";"62579";"26605";"1.9";"-88";"411"
"29";"1979JJ00";"13985526";"6945442";"7040084";"13985526";"6149643";"6811470";"737346";"287067";"13985526";"4479535";"4353469";"3571626";"1280786";"300110";"32";"31.1";"25.5";"9.2";"2.1";"76.5";"56.5";"19.9";"34.2";"33";"35.3";"13985526";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4911";"1042";"3869";"2.81";;"105488";"7.5";"174979";"112565";"62414";"4.4";"104553";"61517";"43036";"3.1";"38";"413"
"30";"1980JJ00";"14091014";"6994280";"7096734";"14091014";"6190940";"6835014";"751355";"313705";"14091014";"4431785";"4441579";"3602326";"1303447";"311877";"31.5";"31.5";"25.6";"9.3";"2.2";"75.2";"55.1";"20.1";"34.4";"33.2";"35.6";"14091014";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5006";"1085";"3921";"2.78";;"117572";"8.3";"181294";"114279";"67015";"4.7";"112504";"61948";"50556";"3.6";"1";"415"
"31";"1981JJ00";"14208586";"7048474";"7160112";"14208586";"6234552";"6866010";"764965";"343059";"14208586";"4395798";"4525169";"3645612";"1318916";"323091";"30.9";"31.8";"25.7";"9.3";"2.3";"73.9";"53.8";"20.1";"34.6";"33.4";"35.8";"14208586";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5103";"1139";"3964";"2.75";"289";"77243";"5.4";"178569";"115515";"63054";"4.4";"80183";"65814";"14369";"1";"-180";"419"
"32";"1982JJ00";"14285829";"7081566";"7204263";"14285829";"6259816";"6870988";"777553";"377472";"14285829";"4330786";"4607340";"3679442";"1332480";"335781";"30.3";"32.3";"25.8";"9.3";"2.4";"72.4";"52.3";"20.1";"34.9";"33.6";"36.1";"14285829";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5239";"1240";"3999";"2.69";;"53722";"3.8";"172071";"117264";"54807";"3.8";"70740";"72024";"-1284";"-0.1";"199";"421"
"33";"1983JJ00";"14339551";"7102598";"7236953";"14339551";"6238717";"6905257";"786477";"409100";"14339551";"4252760";"4676776";"3721901";"1343109";"345005";"29.7";"32.6";"26";"9.4";"2.4";"70.7";"50.6";"20.1";"35.1";"33.9";"36.3";"14339551";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5367";"1343";"4024";"2.63";;"55038";"3.8";"170246";"117761";"52485";"3.7";"66762";"64431";"2331";"0.2";"222";"423"
"34";"1984JJ00";"14394589";"7124152";"7270437";"14394589";"6261073";"6884996";"798174";"450346";"14394589";"4167550";"4739037";"3779544";"1350817";"357641";"29";"32.9";"26.3";"9.4";"2.5";"69";"48.9";"20.1";"35.4";"34.1";"36.6";"14394589";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5494";"1449";"4045";"2.58";;"59244";"4.1";"174436";"119812";"54624";"3.8";"66907";"61774";"5133";"0.4";"-513";"424"
"35";"1985JJ00";"14453833";"7149620";"7304213";"14453833";"6285610";"6869619";"808543";"490061";"14453833";"4084506";"4795956";"3843625";"1359038";"370708";"28.3";"33.2";"26.6";"9.4";"2.6";"67.3";"47.3";"20";"35.6";"34.4";"36.9";"14453833";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5613";"1556";"4057";"2.54";"290";"75597";"5.2";"178136";"122704";"55432";"3.8";"79362";"59475";"19887";"1.4";"278";"426"
"36";"1986JJ00";"14529430";"7184538";"7344892";"14529430";"6323365";"6859886";"818352";"527827";"14529430";"4018630";"4863855";"3877757";"1386796";"382392";"27.7";"33.5";"26.7";"9.5";"2.6";"66.2";"46";"20.2";"35.9";"34.6";"37.1";"14529430";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5711";"1604";"4107";"2.51";;"85695";"5.9";"184513";"125307";"59206";"4.1";"87387";"60607";"26780";"1.8";"-291";"428"
"37";"1987JJ00";"14615125";"7224323";"7390802";"14615125";"6356280";"6879804";"826934";"552107";"14615125";"3968023";"4854891";"3988197";"1411662";"392352";"27.2";"33.2";"27.3";"9.7";"2.7";"65.3";"44.9";"20.4";"36.1";"34.8";"37.3";"14615125";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5814";"1658";"4156";"2.49";;"99823";"6.8";"186667";"122199";"64468";"4.4";"95935";"60844";"35091";"2.4";"264";"431"
"38";"1988JJ00";"14714948";"7273611";"7441337";"14714948";"6405860";"6898335";"836619";"574134";"14714948";"3922311";"4862329";"4090241";"1434264";"405803";"26.7";"33";"27.8";"9.7";"2.8";"64.4";"43.8";"20.6";"36.2";"34.9";"37.5";"14714948";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5837";"1677";"4160";"2.48";;"90292";"6.1";"186647";"124163";"62484";"4.2";"91238";"63996";"27242";"1.8";"566";"434"
"39";"1989JJ00";"14805240";"7316590";"7488650";"14805240";"6446803";"6916716";"845193";"596528";"14805240";"3874701";"4879741";"4173791";"1458653";"418354";"26.2";"33";"28.2";"9.9";"2.8";"63.5";"42.8";"20.7";"36.4";"35.1";"37.7";"14805240";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5938";"1721";"4218";"2.45";;"87334";"5.9";"188979";"128905";"60074";"4";"98914";"72063";"26851";"1.8";"409";"436"
"40";"1990JJ00";"14892574";"7358482";"7534092";"14892574";"6464971";"6956510";"853599";"617494";"14892574";"3822205";"4912128";"4252617";"1477909";"427715";"25.7";"33";"28.6";"9.9";"2.9";"62.5";"41.7";"20.8";"36.6";"35.3";"37.9";"14892574";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6061";"1813";"4249";"2.42";"272";"117871";"7.9";"197965";"128824";"69141";"4.6";"117350";"68939";"48411";"3.2";"319";"439"
"41";"1991JJ00";"15010445";"7419501";"7590944";"15010445";"6518388";"6995091";"861207";"635759";"15010445";"3786164";"4960023";"4330616";"1496394";"437248";"25.2";"33";"28.9";"10";"2.9";"61.6";"40.8";"20.8";"36.8";"35.4";"38.1";"15010445";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6164";"1844";"4320";"2.4";;"118705";"7.9";"198665";"129958";"68707";"4.6";"120249";"70639";"49610";"3.3";"388";"442"
"42";"1992JJ00";"15129150";"7480422";"7648728";"15129150";"6572603";"7036575";"866367";"653605";"15129150";"3762239";"4998563";"4408652";"1515408";"444288";"24.9";"33";"29.1";"10";"2.9";"60.8";"40";"20.8";"36.9";"35.6";"38.2";"15129150";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6266";"1913";"4353";"2.38";"250";"110032";"7.3";"196734";"129887";"66847";"4.4";"116926";"73808";"43118";"2.8";"67";"446"
