"ID";"Periods";"TotalPopulation_1";"Males_2";"Females_3";"TotalPopulation_4";"NeverMarried_5";"Married_6";"Widowed_7";"Divorced_8";"TotalPopulation_9";"YoungerThan20Years_10";"k_20To40Years_11";"k_40To65Years_12";"k_65To80Years_13";"k_80YearsOrOlder_14";"YoungerThan20Years_15";"k_20To40Years_16";"k_40To65Years_17";"k_65To80Years_18";"k_80YearsOrOlder_19";"TotalDemographicPressure_20";"GreenPressure_21";"GreyPressure_22";"TotalPopulation_23";"Males_24";"Females_25";"TotalPopulation_26";"PersonsWithADutchBackground_27";"WithMigrationBackground_28";"WithMigrationBackgroundRate_29";"TotalWesternMigrationBackground_30";"MiddleAndEasternEuropeanEUCountries_31";"GIPSCountriesEuropeanUnion_32";"OtherWesternBackground_33";"TotalNonWestern_34";"Morocco_35";"FormerNethAntillesAndAruba_36";"Suriname_37";"Turkey_38";"OtherNonWesternBackground_39";"TotalFirstGeneration_40";"TotalWesternFirstGeneration_41";"MiddleAndEasternEuropeanEUCountries_42";"GIPSCountriesEuropeanUnion_43";"OtherWesternBackground_44";"TotalNonWestern_45";"Morocco_46";"FormerNethAntillesAndAruba_47";"Suriname_48";"Turkey_49";"OtherNonWesternBackground_50";"TotalSecondGeneration_51";"TotalWesternSecondGeneration_52";"MiddleAndEasternEuropeanEUCountries_53";"GIPSCountriesEuropeanUnion_54";"OtherWesternBackground_55";"TotalNonWestern_56";"Morocco_57";"FormerNethAntillesAndAruba_58";"Suriname_59";"Turkey_60";"OtherNonWesternBackground_61";"TotalPrivateHouseholds_62";"OnePersonHouseholds_63";"MultiPersonHouseholds_64";"AverageHouseholdSize_65";"PopulationInInstitutionalHouseholds_66";"TotalPopulationGrowth_67";"TotalPopulationGrowthRate_68";"LiveBirths_69";"Deaths_70";"NaturalIncrease_71";"NaturalIncreaseRate_72";"Immigration_73";"EmigrationIncludingAdministrati_74";"NetMigrationIncludingAdministrativ_75";"NetMigrationIncludingAdminRate_76";"OtherCorrections_77";"PopulationDensity_78"
"43";"1993JJ00";"15239182";"7535268";"7703914";"15239182";"6626044";"7064236";"871905";"676997";"15239182";"3746470";"5014662";"4492523";"1529136";"456391";"24.6";"32.9";"29.5";"10";"3";"60.3";"39.4";"20.9";"37.1";"35.8";"38.4";"15239182";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6368";"1968";"4401";"2.36";;"102371";"6.7";"195748";"137795";"57953";"3.8";"119154";"74788";"44366";"2.9";"52";"449"
"44";"1994JJ00";"15341553";"7585887";"7755666";"15341553";"6688832";"7075002";"876986";"700733";"15341553";"3751154";"5011430";"4570975";"1543699";"464295";"24.5";"32.7";"29.8";"10.1";"3";"60.1";"39.1";"21";"37.2";"35.9";"38.5";"15341553";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6445";"2003";"4442";"2.35";;"82569";"5.4";"195611";"133471";"62140";"4";"99311";"79228";"20083";"1.3";"346";"452"
"45";"1995JJ00";"15424122";"7627482";"7796640";"15424122";"6735614";"7081536";"875647";"731325";"15424122";"3760155";"4981153";"4649238";"1557819";"475757";"24.4";"32.3";"30.1";"10.1";"3.1";"60.2";"39";"21.1";"37.4";"36.1";"38.6";"15424122";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6469";"2109";"4360";"2.35";"248";"69767";"4.5";"190513";"135675";"54838";"3.5";"96099";"82195";"13904";"0.9";"1025";"455"
"46";"1996JJ00";"15493889";"7662289";"7831600";"15493889";"6792423";"7061695";"878081";"761690";"15493889";"3771609";"4938040";"4723368";"1579397";"481475";"24.3";"31.9";"30.5";"10.2";"3.1";"60.4";"39";"21.3";"37.6";"36.3";"38.8";"15493889";"12995174";"2498715";"16.1";"1327602";;"82713";"1244889";"1171113";"225088";"86824";"280615";"271514";"307072";"1284106";"522554";;"46204";"476350";"761552";"140572";"55808";"179266";"167248";"218658";"1214609";"805048";;"36509";"768539";"409561";"84516";"31016";"101349";"104266";"88414";"6518";"2124";"4394";"2.34";"247";"73218";"4.7";"189521";"137561";"51960";"3.3";"108749";"91945";"16804";"1.1";"4454";"457"
"47";"1997JJ00";"15567107";"7696803";"7870304";"15567107";"6848973";"7045382";"881565";"791187";"15567107";"3787364";"4893195";"4802709";"1596420";"487419";"24.3";"31.4";"30.9";"10.3";"3.1";"60.6";"39.1";"21.5";"37.7";"36.5";"39";"15567107";"13012818";"2554289";"16.4";"1333161";;"83549";"1249612";"1221128";"232841";"88709";"285524";"279708";"334346";"1310705";"524706";;"46302";"478404";"785999";"142533";"56366";"179873";"169034";"238193";"1243584";"808455";;"37247";"771208";"435129";"90308";"32343";"105651";"110674";"96153";"6581";"2158";"4423";"2.33";"242";"87085";"5.6";"192443";"135783";"56660";"3.6";"109860";"81973";"27887";"1.8";"2538";"459"
"48";"1998JJ00";"15654192";"7740074";"7914118";"15654192";"6910940";"7044539";"882562";"816151";"15654192";"3809170";"4848625";"4886678";"1616527";"493192";"24.3";"31";"31.2";"10.3";"3.2";"60.8";"39.1";"21.7";"37.9";"36.6";"39.1";"15654192";"13033792";"2620400";"16.7";"1341947";;"85170";"1256777";"1278453";"241982";"92105";"290467";"289777";"364122";"1345719";"529512";;"47117";"482395";"816207";"145604";"58203";"180519";"172416";"259465";"1274681";"812435";;"38053";"774382";"462246";"96378";"33902";"109948";"117361";"104657";"6656";"2201";"4455";"2.32";"237";"106033";"6.8";"199408";"137482";"61926";"3.9";"122407";"79289";"43118";"2.7";"989";"462"
"49";"1999JJ00";"15760225";"7793271";"7966954";"15760225";"6980384";"7058381";"862537";"858923";"15760225";"3839842";"4809644";"4979805";"1634782";"496152";"24.4";"30.5";"31.6";"10.4";"3.1";"61";"39.2";"21.8";"38";"36.8";"39.2";"15760225";"13060991";"2699234";"17.1";"1353199";;"87052";"1266147";"1346035";"252493";"99130";"296984";"299662";"397766";"1390141";"536380";;"48115";"488265";"853761";"149469";"63268";"182467";"175229";"283328";"1309093";"816819";;"38937";"777882";"492274";"103024";"35862";"114517";"124433";"114438";"6745";"2255";"4491";"2.3";"231";"103725";"6.6";"200445";"140487";"59958";"3.8";"119151";"78779";"40372";"2.6";"3395";"465"
"50";"2000JJ00";"15863950";"7846317";"8017633";"15863950";"7048699";"7071202";"882071";"861978";"15863950";"3873008";"4761504";"5076996";"1652103";"500339";"24.4";"30";"32";"10.4";"3.2";"61.2";"39.4";"21.9";"38.2";"37";"39.4";"15863950";"13088648";"2775302";"17.5";"1366535";;"89092";"1277443";"1408767";"262221";"107197";"302514";"308890";"427945";"1431122";"544890";;"49327";"495563";"886232";"152540";"69266";"183249";"177754";"303423";"1344180";"821645";;"39765";"781880";"522535";"109681";"37931";"119265";"131136";"124522";"6801";"2272";"4529";"2.3";"224";"123125";"7.8";"206619";"140527";"66092";"4.2";"132850";"78977";"53873";"3.4";"3160";"468"
"51";"2001JJ00";"15987075";"7909855";"8077220";"15987075";"7138972";"7079502";"882162";"886439";"15987075";"3908053";"4727104";"5177417";"1657864";"516637";"24.4";"29.6";"32.4";"10.4";"3.2";"61.4";"39.5";"22";"38.3";"37.1";"39.5";"15987075";"13116851";"2870224";"18";"1387036";;"91336";"1295700";"1483188";"272752";"117089";"308824";"319600";"464923";"1488960";"560403";;"50723";"509680";"928557";"155669";"76826";"184737";"181595";"329730";"1381264";"826633";;"40613";"786020";"554631";"117083";"40263";"124087";"138005";"135193";"6867";"2307";"4560";"2.3";"219";"118210";"7.4";"202603";"140377";"62226";"3.9";"133404";"82566";"50838";"3.2";"5146";"472"
"52";"2002JJ00";"16105285";"7971967";"8133318";"16105285";"7241077";"7063982";"881876";"918350";"16105285";"3940636";"4685727";"5280208";"1667107";"531607";"24.5";"29.1";"32.8";"10.4";"3.3";"61.6";"39.5";"22.1";"38.4";"37.3";"39.6";"16105285";"13140336";"2964949";"18.4";"1406596";;"93806";"1312790";"1558353";"284124";"124870";"315177";"330709";"503473";"1547079";"575379";;"52365";"523014";"971700";"159605";"82209";"186262";"185943";"357681";"1417870";"831217";;"41441";"789776";"586653";"124519";"42661";"128915";"144766";"145792";"6934";"2345";"4589";"2.29";"217";"87287";"5.4";"202083";"142355";"59728";"3.7";"121250";"96918";"24332";"1.5";"3227";"475"
"53";"2003JJ00";"16192572";"8015471";"8177101";"16192572";"7321665";"7052176";"879742";"938989";"16192572";"3968999";"4624170";"5378947";"1676486";"543970";"24.5";"28.6";"33.2";"10.4";"3.4";"61.9";"39.7";"22.2";"38.6";"37.4";"39.7";"16192572";"13153814";"3038758";"18.8";"1416156";;"95585";"1320571";"1622602";"295332";"129312";"320658";"341400";"535900";"1585927";"581361";;"53332";"528029";"1004566";"163280";"84395";"187279";"190219";"379393";"1452831";"834795";;"42253";"792542";"618036";"132052";"44917";"133379";"151181";"156507";"6996";"2384";"4612";"2.28";"215";"65460";"4";"200297";"141936";"58361";"3.6";"104514";"104831";"-317";"0";"7416";"479"
"54";"2004JJ00";"16258032";"8045914";"8212118";"16258032";"7389408";"7034504";"877579";"956541";"16258032";"3987557";"4548566";"5470755";"1692856";"558298";"24.5";"28";"33.6";"10.4";"3.4";"62.3";"39.8";"22.5";"38.7";"37.6";"39.8";"16258032";"13169880";"3088152";"19";"1419855";"50272";"96724";"1272841";"1668297";"306219";"130722";"325281";"351648";"554427";"1602730";"581656";"27790";"53669";"500184";"1021074";"166464";"84024";"187990";"194319";"388277";"1485422";"838199";"22482";"43055";"772657";"647223";"139755";"46698";"137291";"157329";"166150";"7049";"2424";"4625";"2.28";"215";"47494";"2.9";"194007";"136553";"57454";"3.5";"94019";"110235";"-16216";"-1";"6256";"481"
"55";"2005JJ00";"16305526";"8065979";"8239547";"16305526";"7450192";"7002557";"876605";"976172";"16305526";"3987957";"4467783";"5561116";"1715097";"573573";"24.5";"27.4";"34.1";"10.5";"3.5";"62.6";"39.8";"22.8";"39";"37.9";"40";"16305526";"13182809";"3122717";"19.2";"1423675";"55189";"97137";"1271349";"1699042";"315821";"130538";"329430";"358846";"564407";"1606664";"582278";"32124";"53389";"496765";"1024386";"168400";"82321";"188367";"195678";"389620";"1516053";"841397";"23065";"43748";"774584";"674656";"147421";"48217";"141063";"163168";"174787";"7091";"2449";"4642";"2.27";"213";"28684";"1.8";"187910";"136402";"51508";"3.2";"92297";"119725";"-27428";"-1.7";"4604";"483"
"56";"2006JJ00";"16334210";"8077407";"8256803";"16334210";"7499312";"6964100";"874896";"995902";"16334210";"3975626";"4389840";"5638285";"1743443";"587016";"24.3";"26.9";"34.5";"10.7";"3.6";"62.9";"39.6";"23.2";"39.2";"38.1";"40.3";"16334210";"13186595";"3147615";"19.3";"1427565";"61378";"97721";"1268466";"1720050";"323239";"129683";"331890";"364333";"570905";"1604259";"584268";"37632";"53381";"493255";"1019991";"168504";"80102";"187483";"195711";"388191";"1543356";"843297";"23746";"44340";"775211";"700059";"154735";"49581";"144407";"168622";"182714";"7146";"2502";"4644";"2.26";"209";"23782";"1.5";"185057";"135372";"49685";"3";"101150";"132470";"-31320";"-1.9";"5417";"483"
"57";"2007JJ00";"16357992";"8088514";"8269478";"16357992";"7543236";"6927736";"871565";"1015455";"16357992";"3957103";"4319136";"5713401";"1767510";"600842";"24.2";"26.4";"34.9";"10.8";"3.7";"63";"39.4";"23.6";"39.5";"38.4";"40.5";"16357992";"13187586";"3170406";"19.4";"1431954";"81589";"98266";"1252099";"1738452";"329493";"129965";"333504";"368600";"576890";"1601194";"586718";"53373";"53378";"479967";"1014476";"167893";"78907";"186025";"195113";"386538";"1569212";"845236";"28216";"44888";"772132";"723976";"161600";"51058";"147479";"173487";"190352";"7191";"2537";"4654";"2.25";"207";"47407";"2.9";"181336";"133022";"48314";"2.9";"116819";"122576";"-5757";"-0.4";"4850";"484"
"58";"2008JJ00";"16405399";"8112073";"8293326";"16405399";"7601904";"6898147";"869611";"1035737";"16405399";"3940450";"4267063";"5783060";"1799337";"615489";"24";"26";"35.3";"11";"3.8";"63.2";"39.2";"24";"39.7";"38.7";"40.7";"16405399";"13189983";"3215416";"19.6";"1449686";"96232";"100282";"1253172";"1765730";"335127";"131841";"335799";"372714";"590249";"1619314";"602130";"66682";"54687";"480761";"1017184";"167063";"78968";"185284";"194556";"391313";"1596102";"847556";"29550";"45595";"772411";"748546";"168064";"52873";"150515";"178158";"198936";"7242";"2571";"4671";"2.24";"207";"80388";"4.9";"184634";"135136";"49498";"3";"143516";"117779";"25737";"1.6";"5153";"486"
"59";"2009JJ00";"16485787";"8156396";"8329391";"16485787";"7680426";"6882639";"866808";"1055914";"16485787";"3933585";"4233861";"5846526";"1840607";"631208";"23.9";"25.7";"35.5";"11.2";"3.8";"63.5";"39";"24.5";"39.9";"38.9";"40.9";"16485787";"13198081";"3287706";"19.9";"1478396";"113425";"104328";"1260643";"1809310";"341528";"134774";"338678";"378330";"616000";"1661505";"627311";"82302";"57873";"487136";"1034194";"166774";"79785";"184961";"195375";"407299";"1626201";"851085";"31123";"46455";"773507";"775116";"174754";"54989";"153717";"182955";"208701";"7313";"2619";"4693";"2.23";"207";"89202";"5.4";"184915";"134235";"50680";"3.1";"146378";"111897";"34481";"2.1";"4041";"489"
"60";"2010JJ00";"16574989";"8203476";"8371513";"16574989";"7701812";"6875088";"866945";"1131144";"16574989";"3928334";"4192772";"5915555";"1890334";"647994";"23.7";"25.3";"35.7";"11.4";"3.9";"64";"38.9";"25.1";"40.1";"39.1";"41.1";"16574989";"13215386";"3359603";"20.3";"1501309";"127768";"107674";"1265867";"1858294";"349005";"138420";"342279";"383957";"644633";"1699751";"644486";"94527";"60251";"489708";"1055265";"167305";"81175";"185089";"196385";"425311";"1659852";"856823";"33241";"47423";"776159";"803029";"181700";"57245";"157190";"187572";"219322";"7386";"2670";"4717";"2.22";"209";"80810";"4.9";"184397";"136058";"48339";"2.9";"154432";"121351";"33081";"2";"-610";"491"
"61";"2011JJ00";"16655799";"8243482";"8412317";"16655799";"7773306";"6864966";"866497";"1151030";"16655799";"3913819";"4162599";"5984435";"1927399";"667547";"23.5";"25";"35.9";"11.6";"4";"64.1";"38.6";"25.6";"40.3";"39.4";"41.3";"16655799";"13228780";"3427019";"20.6";"1527774";"144312";"110950";"1272512";"1899245";"355883";"141345";"344734";"388967";"668316";"1735217";"665865";"108701";"62621";"494543";"1069352";"167607";"81968";"184453";"197042";"438282";"1691802";"861909";"35611";"48329";"777969";"829893";"188276";"59377";"160281";"191925";"230034";"7444";"2708";"4736";"2.21";"219";"74549";"4.5";"180060";"135741";"44319";"2.7";"162962";"133194";"29768";"1.8";"462";"494"
"62";"2012JJ00";"16730348";"8282871";"8447477";"16730348";"7841334";"6851016";"865790";"1172208";"16730348";"3894754";"4141893";"5977333";"2030353";"686015";"23.3";"24.8";"35.7";"12.1";"4.1";"65.3";"38.5";"26.8";"40.6";"39.6";"41.5";"16730348";"13236155";"3494193";"20.9";"1556542";"164667";"115117";"1276758";"1937651";"362954";"143992";"346797";"392923";"690985";"1772204";"690203";"126307";"65889";"498007";"1082001";"168214";"82693";"183752";"197107";"450235";"1721989";"866339";"38360";"49228";"778751";"855650";"194740";"61299";"163045";"195816";"240750";"7513";"2762";"4751";"2.2";"219";"49227";"2.9";"175959";"140813";"35146";"2.1";"158374";"144491";"13883";"0.8";"198";"496"
"63";"2013JJ00";"16779575";"8307339";"8472236";"16779575";"7895899";"6823832";"864180";"1195664";"16779575";"3870773";"4120358";"5964099";"2121525";"702820";"23.1";"24.6";"35.5";"12.6";"4.2";"66.4";"38.4";"28";"40.8";"39.9";"41.7";"16779575";"13236494";"3543081";"21.1";"1576986";"179482";"120390";"1277114";"1966095";"368838";"145499";"347631";"395302";"708825";"1793189";"706512";"138187";"70250";"498075";"1086677";"168117";"82476";"182342";"196203";"457539";"1749892";"870474";"41295";"50140";"779039";"879418";"200721";"63023";"165289";"199099";"251286";"7569";"2802";"4767";"2.19";"215";"49714";"3";"171341";"141245";"30096";"1.8";"164772";"145669";"19103";"1.1";"515";"498"
"64";"2014JJ00";"16829289";"8334385";"8494904";"16829289";"7956499";"6787029";"863292";"1222469";"16829289";"3846040";"4117652";"5946573";"2201935";"717089";"22.9";"24.5";"35.3";"13.1";"4.3";"67.2";"38.2";"29";"41";"40.1";"41.9";"16829289";"13234545";"3594744";"21.4";"1597160";"209005";"125890";"1262265";"1997584";"374996";"146855";"348291";"396414";"731028";"1818497";"722766";"158898";"74704";"489164";"1095731";"168320";"82148";"180863";"194759";"469641";"1776247";"874394";"50107";"51186";"773101";"901853";"206676";"64707";"167428";"201655";"261387";"7590";"2804";"4786";"2.18";"250";"71437";"4.2";"175181";"139223";"35958";"2.1";"182949";"147862";"35087";"2.1";"392";"500"
"65";"2015JJ00";"16900726";"8372858";"8527868";"16900726";"8031966";"6753259";"862705";"1252796";"16900726";"3828059";"4134447";"5930535";"2272709";"734976";"22.7";"24.5";"35.1";"13.4";"4.3";"67.9";"38";"29.9";"41.3";"40.4";"42.1";"16900726";"13235405";"3665321";"21.7";"1626812";"230842";"130608";"1265362";"2038509";"380755";"148926";"348662";"396555";"763611";"1860977";"747703";"177025";"78412";"492266";"1113274";"168451";"82289";"179236";"192311";"490987";"1804344";"879109";"53817";"52196";"773096";"925235";"212304";"66637";"169426";"204244";"272624";"7665";"2868";"4797";"2.17";"245";"78394";"4.6";"170510";"147134";"23376";"1.4";"204615";"149509";"55106";"3.3";"-88";"502"
"66";"2016JJ00";"16979120";"8417135";"8561985";"16979120";"8112153";"6727554";"860883";"1278530";"16979120";"3818499";"4163702";"5911611";"2336560";"748748";"22.5";"24.5";"34.8";"13.8";"4.4";"68.5";"37.9";"30.6";"41.5";"40.6";"42.3";"16979120";"13226829";"3752291";"22.1";"1655699";"249554";"135637";"1270508";"2096592";"385761";"150981";"349022";"397471";"813357";"1920877";"772428";"191719";"82511";"498198";"1148449";"168336";"82462";"177720";"190621";"529310";"1831414";"883271";"57835";"53126";"772310";"948143";"217425";"68519";"171302";"206850";"284047";"7721";"2906";"4814";"2.17";"255";"102387";"6";"172520";"148997";"23523";"1.4";"230739";"151545";"79194";"4.7";"-330";"504"
"67";"2017JJ00";"17081507";"8475102";"8606405";"17081507";"8201061";"6718468";"859720";"1302258";"17081507";"3817173";"4206639";"5898035";"2395385";"764275";"22.3";"24.6";"34.5";"14";"4.5";"69";"37.8";"31.3";"41.6";"40.7";"42.5";"17081507";"13218754";"3862753";"22.6";"1689030";"268218";"141629";"1279183";"2173723";"391088";"153469";"349978";"400367";"878821";"2001175";"801203";"206291";"87487";"507425";"1199972";"168536";"82995";"176801";"190331";"581309";"1861578";"887827";"61927";"54142";"771758";"973751";"222552";"70474";"173177";"210036";"297512";"7794";"2961";"4833";"2.16";"245";"99577";"5.8";"169836";"150214";"19622";"1.1";"234957";"154292";"80665";"4.7";"-710";"507"
"68";"2018JJ00";"17181084";"8527041";"8654043";"17181084";"8287607";"6710175";"858676";"1324626";"17181084";"3810656";"4253083";"5878229";"2460202";"778914";"22.2";"24.8";"34.2";"14.3";"4.5";"69.6";"37.6";"32";"41.8";"41";"42.6";"17181084";"13209225";"3971859";"23.1";"1729016";"290614";"148736";"1289666";"2242843";"396539";"157114";"351681";"404459";"933050";"2079329";"836178";"224382";"93475";"518321";"1243151";"169018";"84526";"176412";"191513";"621682";"1892530";"892838";"66232";"55261";"771345";"999692";"227521";"72588";"175269";"212946";"311368";"7858";"2998";"4860";"2.15";"249";"101079";"5.9";"168525";"153363";"15162";"0.9";"243737";"157366";"86371";"5";"-454";"510"
"69";"2019JJ00";"17282163";"8581086";"8701077";"17282163";"8374133";"6706554";"858443";"1343033";"17282163";"3791838";"4309987";"5866334";"2515184";"798820";"21.9";"24.9";"33.9";"14.6";"4.6";"69.8";"37.3";"32.6";"42";"41.2";"42.8";"17282163";"13196025";"4086138";"23.6";"1774271";"316095";"156545";"1301631";"2311867";"402492";"161265";"353909";"409877";"984324";"2161684";"876946";"245393";"100235";"531318";"1284738";"170357";"86517";"176564";"193698";"657602";"1924454";"897325";"70702";"56310";"770313";"1027129";"232135";"74748";"177345";"216179";"326722";"7925";"3038";"4887";"2.15";"247";"125422";"7.3";"169680";"151885";"17795";"1";"269064";"161029";"108035";"6.3";"-408";"513"
"70";"2020JJ00";"17407585";"8648031";"8759554";"17407585";"8474556";"6713002";"859020";"1361007";"17407585";"3775257";"4381481";"5858292";"2570467";"822088";"21.7";"25.2";"33.7";"14.8";"4.7";"70";"36.9";"33.1";"42.2";"41.3";"43";"17407585";"13186880";"4220705";"24.2";"1828645";"343984";"166031";"1318630";"2392060";"408864";"166265";"356402";"416864";"1043665";"2262256";"925952";"269058";"108458";"548436";"1336304";"172040";"89118";"176963";"197446";"700737";"1958449";"902693";"74926";"57573";"770194";"1055756";"236824";"77147";"179439";"219418";"342928";"7998";"3080";"4918";"2.14";"259";"67830";"3.9";"168681";"168678";"3";"0";"220853";"152494";"68359";"3.9";"-532";"517"
"71";"2021JJ00";"17475415";"8686536";"8788879";"17475415";"8558739";"6678969";"859784";"1377923";"17475415";"3743466";"4421003";"5853411";"2618874";"838661";"21.4";"25.3";"33.5";"15";"4.8";"70.1";"36.4";"33.7";"42.3";"41.5";"43.1";"17475415";"13169507";"4305908";"24.6";"1858730";"381614";"169781";"1307335";"2447178";"414186";"171413";"358266";"422030";"1081283";"2312921";"951072";"296419";"110815";"543838";"1361849";"172542";"91728";"176571";"199402";"721606";"1992987";"907658";"85195";"58966";"763497";"1085329";"241644";"79685";"181695";"222628";"359677";"8043";"3097";"4946";"2.14";"259";"115257";"6.6";"179441";"170972";"8469";"0.5";"252528";"145330";"107198";"6.1";"-410";"519"
"72";"2022JJ00";"17590672";"8745468";"8845204";"17590672";"8674526";"6667185";"862818";"1386143";"17590672";"3737817";"4487841";"5839561";"2672346";"853107";"21.2";"25.5";"33.2";"15.2";"4.9";"70.3";"36.2";"34.1";"42.4";"41.6";"43.2";"17590672";"13151772";"4438900";"25.2";"1909408";"410032";"181453";"1317923";"2529492";"419272";"176912";"359814";"429978";"1143516";"2412344";"996928";"320281";"121155";"555492";"1415416";"173279";"94770";"176127";"204249";"766991";"2026556";"912480";"89751";"60298";"762431";"1114076";"245993";"82142";"183687";"225729";"376525";"8139";"3173";"4966";"2.13";"263";;;;;;;;;;;;"522"
